ticker,side,event_date,close,line,gap_vs_line_pct,slope_yr_pct,days_since_anchor,vol_ratio20,atr_pct,runup_20d,dist_from_ath_pct,dollar_vol_m,attempt_no,ret_5d,ret_10d,ret_20d,ret_40d,ret_end,mfe_20d,mae_20d,stop_day,ret_at_stop,touch_no,pierce_depth_pct,closed_above
ACHR,under_touch,2023-04-14,2.14,2.28,-6.16,220.5,1,1.01,7.91,-19.85,-88.49,3.61,,-9.35,-7.48,-6.54,76.17,225.47,13.08,-17.29,1.0,-5.14,1.0,6.16,False
ACLS,upper_breakout,2022-12-12,83.34,82.75,0.72,-1.6,181,1.2,3.78,8.11,-30.55,27.79,1.0,-5.69,-4.94,14.52,49.28,71.62,16.04,-9.13,4.0,-2.29,,,
ACLS,upper_breakout,2023-01-09,92.24,88.65,4.05,-1.3,17,1.84,4.08,12.58,-23.13,38.99,1.0,10.58,16.96,28.72,42.12,55.06,31.81,-1.12,,,,,
ACLX,upper_breakout,2022-07-01,18.6,17.9,3.9,-99.9,1,0.14,12.92,44.41,-30.88,10.67,1.0,12.26,-6.83,18.49,-9.84,518.66,26.29,-11.61,,,,,
ACLX,upper_breakout,2023-05-09,44.82,44.56,0.58,-5.5,8,0.81,5.6,55.68,-0.51,28.55,1.0,-5.71,-3.15,-6.34,-27.78,156.74,9.15,-11.36,3.0,-7.18,,,
ACLX,upper_breakout,2023-05-15,43.45,41.39,4.97,-100.0,1,0.88,6.69,26.71,-11.18,28.82,1.0,-1.98,0.51,-9.02,-21.47,164.83,5.34,-10.72,,,,,
ACLX,under_touch,2022-07-05,19.08,18.35,3.97,631906.1,2,0.44,11.78,45.76,-29.1,11.05,,-3.14,-4.25,15.25,-9.75,503.09,23.11,-13.84,1.0,-1.78,1.0,6.6,True
ACLX,under_touch,2022-07-11,20.88,21.09,-0.98,631906.1,6,0.39,8.33,-0.52,-22.41,9.68,,-17.0,2.63,-6.42,-11.21,451.1,12.5,-21.26,1.0,-11.49,2.0,8.94,False
ACLX,under_touch,2022-07-12,18.48,19.83,-6.79,327882.0,1,1.86,9.89,-24.36,-31.33,8.61,,-1.14,12.72,3.35,6.06,522.67,27.11,-11.04,1.0,3.73,1.0,7.25,False
ACLX,under_touch,2022-07-14,17.41,17.24,1.0,87559.0,1,0.9,11.48,-2.68,-35.3,7.26,,14.36,17.81,8.85,11.2,560.94,34.92,-5.17,1.0,-4.25,1.0,4.63,True
ACLX,under_touch,2022-07-28,20.51,20.15,1.8,48948.9,8,1.22,7.89,13.19,-23.78,5.01,,-4.68,-7.61,-13.85,-14.87,461.04,14.53,-15.36,4.0,-1.85,1.0,2.67,True
ACLX,under_touch,2022-08-03,20.13,22.23,-9.44,48948.9,12,1.94,7.59,7.42,-25.2,5.77,,-3.53,-2.88,-10.73,-5.61,471.63,6.01,-22.35,1.0,-2.88,2.0,11.29,False
ACLX,under_touch,2022-08-05,19.81,19.71,0.51,22462.0,1,1.64,7.94,-1.88,-26.38,6.09,,-6.36,-10.2,-8.28,-5.1,480.87,3.38,-21.1,1.0,-1.36,1.0,2.84,True
ACLX,under_touch,2022-08-10,19.42,19.19,1.21,15075.2,1,1.55,7.93,1.3,-27.83,6.09,,0.67,-5.15,2.99,-4.79,492.53,5.41,-19.52,1.0,-2.42,1.0,1.09,True
ACLX,under_touch,2022-08-15,19.24,18.86,2.02,10934.5,1,0.77,7.64,11.02,-28.5,6.09,,-5.77,-12.84,1.87,-1.77,498.08,7.48,-18.76,2.0,1.61,1.0,2.38,True
ACLX,under_touch,2022-08-19,17.79,19.16,-7.14,8679.7,1,0.61,7.64,-9.23,-33.89,6.79,,-5.9,2.14,6.69,3.54,546.82,18.89,-12.14,1.0,1.91,1.0,7.92,False
ACLX,under_touch,2022-08-23,17.98,17.64,1.93,5532.3,1,0.48,6.94,-13.68,-33.18,6.76,,-4.23,9.01,2.06,5.39,539.99,17.63,-13.07,2.0,-1.72,1.0,0.74,True
ACLX,under_touch,2022-08-29,16.77,16.94,-1.03,3790.9,1,0.75,7.31,-23.91,-37.68,5.87,,10.55,16.88,12.7,19.8,586.17,26.12,-4.59,13.0,11.15,1.0,7.76,False
ACLX,under_touch,2022-09-06,18.54,18.22,1.75,3790.9,6,1.63,6.56,-5.12,-31.1,5.99,,5.72,2.32,2.43,24.65,520.66,14.08,-9.76,8.0,0.54,2.0,1.65,True
