ticker,side,event_date,entry,gap_vs_line_pct,slope_yr_pct,days_since_anchor,vol_ratio20,atr_pct,runup_20d,dist_from_ath_pct,dist_hi_52w_pct,dist_lo_52w_pct,rsi14,dollar_vol_m,attempt_no,touch_no,ret_s10_none,days_s10_none,ret_s10_tp20,days_s10_tp20,ret_s10_tp40,days_s10_tp40,ret_s10_atr3x,days_s10_atr3x,ret_s10_atr4x,days_s10_atr4x,ret_s15_none,days_s15_none,ret_s15_tp20,days_s15_tp20,ret_s15_tp40,days_s15_tp40,ret_s15_atr3x,days_s15_atr3x,ret_s15_atr4x,days_s15_atr4x,ret_s20_none,days_s20_none,ret_s20_tp20,days_s20_tp20,ret_s20_tp40,days_s20_tp40,ret_s20_atr3x,days_s20_atr3x,ret_s20_atr4x,days_s20_atr4x
FIHL,under,2024-08-15,17.97,8.99,27.0,251,6.45,3.5,1.01,-12.47,-12.47,55.58,61.5,10.0,,27.0,3.34,60,3.34,60,3.34,60,3.34,60,3.34,60,3.34,60,3.34,60,3.34,60,3.34,60,3.34,60,3.34,60,3.34,60,3.34,60,3.34,60,3.34,60
FIHL,under,2024-10-07,17.1,0.23,27.0,287,1.54,3.3,-7.17,-16.71,-16.71,48.05,39.9,7.75,,28.0,2.11,58,20.0,27,2.11,58,9.89,25,13.18,27,5.15,60,20.0,27,5.15,60,9.89,25,13.18,27,5.15,60,20.0,27,5.15,60,9.89,25,13.18,27
FIHL,under,2024-10-23,17.42,0.95,27.0,299,0.54,2.99,-7.49,-15.15,-15.15,50.82,43.6,6.03,,29.0,0.48,46,20.0,15,0.48,46,8.97,15,11.96,15,-0.72,49,20.0,15,-0.72,49,8.97,15,11.96,15,-2.12,50,20.0,15,-2.12,50,8.97,15,11.96,15
FIHL,under,2024-10-29,17.38,0.34,27.0,303,1.19,2.17,-4.82,-15.34,-15.34,50.48,44.0,5.58,,30.0,-2.13,4,-2.13,4,-2.13,4,-2.13,4,-2.13,4,0.45,42,20.0,11,0.45,42,6.51,6,8.68,9,-0.34,45,20.0,11,-0.34,45,6.51,6,8.68,9
FIHL,under,2024-12-31,18.13,0.5,27.0,346,1.17,2.49,-11.13,-14.96,-14.96,53.64,41.7,9.04,,34.0,-2.8,2,-2.8,2,-2.8,2,-2.8,2,-2.8,2,-4.05,2,-4.05,2,-4.05,2,-4.05,2,-4.05,2,-5.2,3,-5.2,3,-5.2,3,-5.2,3,-5.2,3
FISI,under,2020-02-10,30.25,0.54,22.5,140,0.41,2.38,-4.3,-22.14,-9.1,18.3,38.0,0.77,,1.0,-2.12,10,-2.12,10,-2.12,10,-2.12,10,-2.12,10,-3.31,10,-3.31,10,-3.31,10,-3.31,10,-3.31,10,-4.51,10,-4.51,10,-4.51,10,-4.51,10,-4.51,10
FISI,under,2020-02-18,30.37,0.54,22.5,145,0.86,2.21,-4.1,-21.83,-8.74,18.77,40.8,0.71,,2.0,-2.34,5,-2.34,5,-2.34,5,-2.34,5,-2.34,5,-3.45,5,-3.45,5,-3.45,5,-3.45,5,-3.45,5,-4.55,5,-4.55,5,-4.55,5,-4.55,5,-4.55,5
FISI,under,2020-09-21,15.4,0.79,14.3,129,1.14,3.97,-3.57,-60.36,-53.73,20.5,34.5,1.08,,5.0,-4.65,2,-4.65,2,-4.65,2,-4.65,2,-4.65,2,-6.59,3,-6.59,3,-6.59,3,-6.59,3,-6.59,3,50.78,60,20.0,31,40.0,42,11.91,11,15.88,29
FISI,under,2020-10-01,15.45,0.69,14.3,137,0.66,4.3,-11.92,-60.23,-53.58,20.89,41.2,1.2,,7.0,47.51,60,20.0,23,40.0,38,12.91,21,17.22,22,47.51,60,20.0,23,40.0,38,12.91,21,17.22,22,47.51,60,20.0,23,40.0,38,12.91,21,17.22,22
FISI,under,2020-10-29,16.22,4.6,14.3,157,1.09,3.43,4.98,-58.25,-51.26,26.92,49.1,0.7,,8.0,39.46,60,20.0,7,40.0,31,10.3,1,13.74,3,39.46,60,20.0,7,40.0,31,10.3,1,13.74,3,39.46,60,20.0,7,40.0,31,10.3,1,13.74,3
FIX,upper,2020-08-17,55.13,3.15,-6.2,336,1.0,3.2,35.22,-7.86,-0.83,100.18,75.1,19.32,2.0,,-6.35,4,-6.35,4,-6.35,4,-6.35,4,-6.35,4,-8.05,8,-8.05,8,-8.05,8,-8.05,8,-8.05,8,-9.85,16,-9.85,16,-9.85,16,-9.85,16,-9.85,16
FIX,upper,2020-10-20,55.46,0.57,-4.1,48,0.67,2.76,7.75,-7.3,-4.61,101.38,56.3,11.84,2.0,,-3.39,4,-3.39,4,-3.39,4,-3.39,4,-3.39,4,-4.79,5,-4.79,5,-4.79,5,-4.79,5,-4.79,5,-6.17,5,-6.17,5,-6.17,5,-6.17,5,-6.17,5
FIX,upper,2020-10-22,55.51,0.69,-4.1,50,0.75,2.7,10.31,-7.22,-4.52,101.56,56.0,11.35,3.0,,-3.42,2,-3.42,2,-3.42,2,-3.42,2,-3.42,2,-4.79,3,-4.79,3,-4.79,3,-4.79,3,-4.79,3,-6.14,3,-6.14,3,-6.14,3,-6.14,3,-6.14,3
FIX,upper,2022-07-26,90.88,0.17,-18.2,31,1.1,2.58,8.58,-12.4,-12.4,33.82,61.6,11.95,2.0,,17.46,60,17.46,60,17.46,60,7.75,2,10.33,3,17.46,60,17.46,60,17.46,60,7.75,2,10.33,3,17.46,60,17.46,60,17.46,60,7.75,2,10.33,3
FIX,upper,2023-05-25,150.16,3.25,-65.0,13,1.06,2.49,0.88,-3.86,-3.86,102.54,55.8,40.49,2.0,,18.94,60,20.0,49,18.94,60,7.48,8,9.97,23,18.94,60,20.0,49,18.94,60,7.48,8,9.97,23,18.94,60,20.0,49,18.94,60,7.48,8,9.97,23
FIZZ,upper,2021-10-29,56.4,0.4,-52.0,190,0.85,2.4,6.46,-42.58,-42.58,133.83,59.5,10.98,2.0,,-8.97,22,-8.97,22,-8.97,22,7.2,3,9.59,3,-10.45,23,-10.45,23,-10.45,23,7.2,3,9.59,3,-13.26,29,-13.26,29,-13.26,29,7.2,3,9.59,3
FIZZ,upper,2021-12-07,53.16,2.07,-52.0,216,1.46,3.77,-13.07,-45.88,-45.88,120.4,38.5,11.96,3.0,,-6.65,3,-6.65,3,-6.65,3,-6.65,3,-6.65,3,-8.53,3,-8.53,3,-8.53,3,-8.53,3,-8.53,3,-10.42,3,-10.42,3,-10.42,3,-10.42,3,-10.42,3
