ticker,side,entry_date,entry,sl,tp,confidence,exit_date,exit,reason,pnl,pnl_pct,days_held
FPI,פריצה,2023-02-28,10.72,9.65,12.86,100.0,2023-03-13,9.65,SL,-499.07,-9.98,9
PLUS,פריצה,2023-03-01,54.39,48.95,65.27,100.0,2023-03-13,48.95,SL,-500.09,-10.0,8
AVDX,תמיכה,2023-03-08,9.0,8.1,10.8,100.0,2023-03-13,8.1,SL,-500.0,-10.0,3
LOB,תמיכה,2023-03-09,30.51,27.46,36.61,100.0,2023-03-13,27.46,SL,-499.84,-10.0,2
CVBF,תמיכה,2023-03-10,21.61,19.45,25.93,100.0,2023-03-13,19.45,SL,-499.77,-10.0,1
CUE,תמיכה,2023-03-10,72.3,65.07,86.76,100.0,2023-03-14,86.76,TP,1000.0,20.0,2
BRCC,תמיכה,2023-03-06,6.06,5.45,7.27,100.0,2023-03-16,5.45,SL,-503.3,-10.07,8
RGNX,תמיכה,2023-02-14,22.26,20.03,26.71,100.0,2023-03-17,20.03,SL,-500.9,-10.02,22
ACET,תמיכה,2023-03-16,123.36,111.02,148.03,100.0,2023-03-20,111.02,SL,-500.16,-10.0,2
CWK,תמיכה,2023-03-13,11.19,10.07,13.43,100.0,2023-03-22,10.07,SL,-500.45,-10.01,7
DNMR,תמיכה,2023-03-22,75.2,67.68,90.24,100.0,2023-03-24,90.24,TP,1000.0,20.0,2
CGEM,תמיכה,2023-03-07,11.1,9.99,13.32,100.0,2023-03-30,9.99,SL,-500.0,-10.0,17
ALE,פריצה,2023-02-02,63.33,57.0,76.0,100.0,2023-03-31,64.37,TIME,82.11,1.64,40
ANAB,תמיכה,2023-03-09,15.27,13.74,18.32,100.0,2023-03-31,13.74,SL,-500.98,-10.02,16
CVCO,פריצה,2023-02-09,290.47,261.42,348.56,100.0,2023-04-10,284.05,TIME,-110.51,-2.21,40
AHCO,תמיכה,2023-03-13,13.16,11.84,15.79,100.0,2023-04-17,11.84,SL,-501.52,-10.03,24
ASUR,פריצה,2023-03-14,13.93,12.54,16.72,100.0,2023-04-18,16.72,TP,1001.44,20.03,24
CATO,תמיכה,2023-02-22,9.13,8.22,10.96,100.0,2023-04-20,8.48,TIME,-355.97,-7.12,40
GPRO,תמיכה,2023-03-10,5.03,4.53,6.04,100.0,2023-04-20,4.53,SL,-497.02,-9.94,28
AEIS,פריצה,2023-03-14,97.19,87.47,116.63,100.0,2023-04-20,87.47,SL,-500.05,-10.0,26
CIVB,תמיכה,2023-03-30,16.7,15.03,20.04,100.0,2023-04-25,15.03,SL,-500.0,-10.0,17
CATY,פריצה,2023-03-31,34.52,31.07,41.42,100.0,2023-04-25,31.07,SL,-499.71,-9.99,16
BATRA,פריצה,2023-03-03,34.85,31.37,41.82,100.0,2023-05-01,39.9,TIME,724.53,14.49,40
ATRC,פריצה,2023-03-13,37.26,33.53,44.71,100.0,2023-05-01,44.71,TP,999.73,19.99,34
ALKT,תמיכה,2023-03-13,12.41,11.17,14.89,100.0,2023-05-02,11.17,SL,-499.6,-9.99,35
CRCT,פריצה,2023-03-07,9.0,8.1,10.8,100.0,2023-05-03,9.42,TIME,233.33,4.67,40
ADNT,תמיכה,2023-03-24,37.89,34.1,45.47,100.0,2023-05-03,34.1,SL,-500.13,-10.0,27
HURN,פריצה,2023-04-17,83.24,74.92,99.89,100.0,2023-05-03,74.92,SL,-499.76,-10.0,12
DCO,פריצה,2023-04-18,52.63,47.37,63.16,100.0,2023-05-04,47.37,SL,-499.71,-9.99,12
PMTS,פריצה,2023-04-20,42.39,38.15,50.87,100.0,2023-05-04,38.15,SL,-500.12,-10.0,10
