date,equity,open_positions,cash
2022-03-04,97110.12,19,2548.43
2022-03-07,95019.28,19,2047.7
2022-03-08,94901.1,19,1121.69
2022-03-09,96029.94,19,621.53
2022-03-10,95809.81,19,621.53
2022-03-11,94824.43,19,120.75
2022-03-14,94405.89,18,4620.75
2022-03-15,94881.42,18,4620.75
2022-03-16,95885.31,18,4841.18
2022-03-17,96463.98,18,4947.98
2022-03-18,96201.32,18,4947.98
2022-03-21,95575.83,18,5009.64
2022-03-22,96495.21,18,4684.75
2022-03-23,95524.11,18,4684.75
2022-03-24,95956.82,18,4684.75
2022-03-25,96355.3,18,4456.16
2022-03-28,96276.97,18,4448.23
2022-03-29,97507.75,18,4448.23
2022-03-30,96198.16,18,4448.23
2022-03-31,95376.25,18,4448.23
2022-04-01,96559.61,18,4448.23
2022-04-04,95894.26,18,4448.23
2022-04-05,94714.9,18,4448.23
2022-04-06,94061.88,18,4448.23
2022-04-07,93542.04,18,3449.34
2022-04-08,93292.7,18,3449.34
2022-04-11,93100.18,18,2949.02
2022-04-12,93517.37,18,2449.02
2022-04-13,94841.21,18,2449.02
2022-04-14,93791.5,18,2449.02
2022-04-18,93957.88,18,1950.51
2022-04-19,95455.54,18,1950.51
2022-04-20,96162.45,18,1950.51
2022-04-21,94549.18,18,1449.59
2022-04-22,93008.61,18,991.16
2022-04-25,91979.5,17,4991.01
2022-04-26,89792.57,17,4490.51
2022-04-27,90247.14,17,4943.21
2022-04-28,90977.83,17,4943.21
2022-04-29,89618.78,17,4852.95
2022-05-02,89744.7,17,4852.95
2022-05-03,90525.04,17,4852.95
2022-05-04,92132.71,17,4124.36
2022-05-05,89804.74,17,4124.36
2022-05-06,89151.51,17,3624.11
2022-05-09,87457.43,17,3357.52
2022-05-10,86159.73,17,1359.53
2022-05-11,85290.58,17,859.22
2022-05-12,84577.03,16,4864.14
2022-05-13,86500.31,17,491.66
2022-05-16,86390.52,17,491.66
2022-05-17,89143.81,17,491.66
2022-05-18,86559.1,17,513.48
2022-05-19,87089.94,17,13.21
2022-05-20,86587.19,17,512.69
2022-05-23,87287.64,17,863.56
2022-05-24,86916.33,16,4861.56
2022-05-25,88569.07,17,861.56
2022-05-26,89360.26,17,362.56
2022-05-27,91086.52,17,362.56
2022-05-31,91458.61,16,7358.73
2022-06-01,91694.69,17,2358.73
2022-06-02,92772.41,17,2358.73
2022-06-03,91880.71,17,2358.73
2022-06-06,91911.18,17,1856.34
