ticker,side,event_date,close,line,gap_vs_line_pct,slope_yr_pct,days_since_anchor,vol_ratio20,atr_pct,runup_20d,dist_from_ath_pct,dollar_vol_m,attempt_no,ret_5d,ret_10d,ret_20d,ret_40d,ret_end,mfe_20d,mae_20d,stop_day,ret_at_stop,touch_no,pierce_depth_pct,closed_above
RBBN,under_touch,2026-02-05,2.72,2.62,3.64,18.7,11,1.57,4.53,-4.23,-75.82,1.43,,-28.31,-23.53,-20.96,-17.65,-22.43,-9.56,-33.82,1.0,-27.94,2.0,0.18,True
RBCAA,upper_breakout,2025-07-01,75.48,73.65,2.48,-14.5,1,0.69,2.64,9.98,-6.45,7.09,1.0,0.07,-1.62,-6.98,2.04,29.81,3.37,-7.38,9.0,-3.47,,,
RBCAA,upper_breakout,2025-07-16,74.26,73.2,1.45,-14.5,11,0.5,2.45,9.46,-7.96,7.29,2.0,0.19,-5.45,-1.58,3.78,31.94,4.96,-10.02,6.0,-2.18,,,
RBCAA,upper_breakout,2025-09-04,77.77,77.38,0.5,-5.3,33,0.76,1.95,13.7,-3.61,1.8,1.0,-0.9,-0.59,-8.9,-14.65,25.99,0.62,-9.99,1.0,-1.21,,,
RBCAA,upper_breakout,2025-09-18,77.31,77.22,0.12,-5.3,43,1.1,2.15,6.58,-4.18,1.57,2.0,-5.04,-8.36,-11.5,-13.41,26.74,-0.63,-11.82,1.0,-3.26,,,
RBCAA,upper_breakout,2026-04-23,76.82,76.32,0.66,-3.9,158,0.86,2.81,11.75,-4.78,6.78,1.0,-1.42,0.0,3.55,11.46,27.54,3.87,-5.53,1.0,-4.46,,,
RBCAA,upper_breakout,2026-04-28,76.37,76.28,0.12,-3.9,161,1.26,3.2,9.26,-5.34,6.74,2.0,0.14,-0.45,4.56,15.32,28.3,6.74,-2.63,1.0,-1.85,,,
RBCAA,upper_breakout,2026-05-01,76.28,76.24,0.05,-3.9,164,0.85,3.03,6.17,-5.45,5.98,3.0,1.46,-1.05,4.58,18.55,28.45,6.87,-1.82,1.0,-0.62,,,
RBCAA,upper_breakout,2026-05-05,76.48,76.22,0.34,-3.9,166,0.76,2.88,6.28,-5.21,5.67,4.0,-0.59,1.4,5.86,19.64,28.11,7.7,-2.08,4.0,-0.41,,,
RBCAA,upper_breakout,2026-05-14,76.67,76.13,0.7,-3.9,173,1.27,2.14,4.91,-4.97,5.84,5.0,3.76,5.58,14.33,15.4,27.79,15.79,-1.9,1.0,-1.55,,,
RBCAA,upper_breakout,2026-05-18,77.05,76.11,1.24,-3.9,175,0.66,2.04,2.47,-4.5,5.71,6.0,4.46,6.89,10.79,19.82,27.16,15.22,-0.35,,,,,
RBOT,under_touch,2025-09-25,5.49,5.6,-1.96,27.6,117,1.86,7.94,-16.44,-98.84,0.21,,1.09,19.85,8.93,-53.01,-98.84,40.62,-4.37,1.0,-0.55,1.0,4.28,False
RBOT,under_touch,2025-10-02,5.55,5.27,5.4,20.4,4,1.68,6.98,-2.8,-98.83,0.21,,18.56,9.55,-6.31,-45.77,-98.85,39.1,-7.39,20.0,-6.31,1.0,0.1,True
RBOT,under_touch,2025-10-30,5.2,5.34,-2.68,20.4,24,0.55,9.71,-6.31,-98.9,0.7,,-16.54,-33.08,-42.12,-63.85,-98.77,5.77,-53.08,1.0,2.5,2.0,3.81,False
RBOT,under_touch,2025-11-03,4.96,5.15,-3.62,16.6,2,1.33,9.35,-28.22,-98.95,0.48,,-4.84,-36.49,-47.58,-56.25,-98.71,4.44,-50.81,1.0,-6.25,1.0,5.76,False
RBOT,under_touch,2025-11-05,4.58,4.56,0.42,5.5,1,0.74,8.95,-35.04,-99.03,0.4,,-10.04,-38.65,-34.5,-41.92,-98.61,13.1,-46.72,1.0,-5.24,1.0,1.34,True
RBOT,under_touch,2025-11-11,4.57,4.56,0.11,5.5,5,0.98,9.57,-27.11,-99.03,0.35,,-35.01,-45.51,-38.29,-42.89,-98.6,7.22,-46.61,1.0,-9.85,2.0,0.54,True
RBOT,under_touch,2025-11-17,3.15,4.57,-31.05,5.5,9,0.83,14.99,-48.36,-99.33,0.26,,-17.78,-17.46,-22.86,-9.21,-97.97,16.19,-25.08,1.0,-5.71,3.0,32.59,False
RBOT,under_touch,2025-11-21,2.46,4.57,-46.2,5.5,13,0.89,18.5,-57.95,-99.48,0.2,,8.13,15.04,-11.38,1.22,-97.41,48.78,-12.2,1.0,5.28,4.0,46.64,False
RBOT,under_touch,2025-11-25,2.49,2.56,-2.79,45466.5,1,0.91,17.94,-56.7,-99.47,0.2,,32.53,13.25,-21.29,-7.63,-97.44,46.99,-21.29,3.0,6.83,1.0,3.26,False
RBOT,under_touch,2025-12-02,2.6,2.82,-7.9,45466.5,5,0.59,16.26,-47.58,-99.45,0.21,,11.54,-6.54,-16.54,-15.38,-97.55,40.77,-30.58,3.0,14.62,2.0,10.02,False
RBOT,under_touch,2025-12-12,2.56,2.68,-4.47,440.3,8,0.38,14.28,-26.44,-99.46,0.39,,-15.23,-26.56,8.2,-27.34,-97.51,30.08,-29.49,1.0,-3.52,1.0,4.47,False
RBOT,under_touch,2025-12-17,2.38,2.48,-4.09,55830.3,1,0.7,14.69,-19.87,-99.5,0.39,,-17.65,5.88,11.34,-26.05,-97.32,39.92,-24.16,1.0,-7.14,1.0,4.63,False
RBOT,under_touch,2025-12-23,2.0,2.2,-9.1,920.2,1,0.51,11.99,-22.78,-99.58,0.33,,8.5,28.5,25.5,7.5,-96.81,66.5,-9.75,1.0,-2.0,1.0,9.1,False
RBOT,under_touch,2026-02-20,2.26,2.03,11.23,594525.2,4,3.3,8.88,-9.24,-99.52,0.18,,-9.73,-60.18,-77.43,-92.7,-97.18,6.59,-81.24,2.0,-11.06,1.0,10.42,True
RC,under_touch,2025-08-11,3.78,3.92,-3.57,0.0,1344,1.91,4.04,-13.1,-82.0,7.21,,0.0,6.35,14.02,-7.14,-52.91,17.99,-2.12,1.0,1.59,1.0,3.83,False
RC,under_touch,2025-08-13,3.92,3.85,1.81,1329.1,1,1.41,3.84,-9.05,-81.33,7.93,,-1.79,7.65,8.42,-11.73,-54.59,13.78,-5.61,1.0,-1.53,1.0,0.53,True
RC,under_touch,2025-08-18,3.78,3.82,-1.05,94.4,1,0.66,3.78,-10.43,-82.0,7.67,,6.35,12.96,14.81,-10.05,-52.91,17.99,-2.12,1.0,0.0,1.0,1.83,False
RC,under_touch,2025-08-20,3.85,3.75,2.67,0.0,1,0.87,3.47,-13.68,-81.67,7.67,,9.61,10.65,12.21,-14.81,-53.77,15.84,-3.9,1.0,-3.64,1.0,0.0,True
RC,under_touch,2025-10-02,3.74,3.75,-0.27,0.0,31,0.66,3.78,-12.21,-82.19,8.62,,-7.49,-12.3,-21.93,-32.35,-52.41,1.6,-22.19,2.0,-4.81,2.0,0.53,False
RC,under_touch,2025-10-08,3.61,3.75,-3.73,0.0,35,1.32,3.8,-12.17,-82.81,8.69,,-6.37,-13.3,-15.79,-27.42,-50.69,0.55,-21.61,1.0,-4.16,3.0,6.67,False
RC,under_touch,2025-10-09,3.46,3.5,-1.14,0.0,1,1.11,4.05,-18.59,-83.52,8.39,,-5.2,-10.98,-13.58,-24.28,-48.55,1.73,-18.21,1.0,-0.58,1.0,1.71,False
RC,under_touch,2025-10-15,3.38,3.5,-3.43,0.0,5,0.79,4.06,-20.47,-83.9,8.52,,-7.4,-9.76,-21.3,-26.33,-47.34,0.3,-22.19,1.0,-2.96,2.0,4.29,False
RC,under_touch,2025-10-16,3.28,3.4,-3.55,4323.6,1,0.89,4.27,-24.07,-84.38,8.38,,-6.1,-10.98,-18.6,-27.13,-45.73,0.3,-20.12,1.0,-1.22,1.0,4.14,False
RC,under_touch,2025-10-21,3.15,3.2,-1.56,0.0,1,0.82,3.72,-24.82,-85.0,7.53,,0.95,-7.94,-22.22,-30.79,-43.49,2.22,-22.22,1.0,-0.63,1.0,1.56,False
RC,under_touch,2025-10-27,3.14,3.12,0.62,2595.5,1,0.68,3.32,-22.28,-85.05,7.53,,-7.64,-14.01,-20.7,-28.98,-43.31,2.55,-26.11,2.0,-2.87,1.0,0.34,True
RC,under_touch,2025-10-31,2.93,3.29,-10.89,2595.5,5,1.41,3.68,-22.28,-86.05,7.25,,0.34,-9.56,-13.65,-25.94,-39.25,4.1,-20.82,1.0,-1.02,2.0,13.93,False
RC,under_touch,2025-11-04,2.9,2.95,-1.74,19673.1,1,0.76,3.65,-17.38,-86.19,6.95,,-1.38,-15.52,-4.14,-26.21,-38.62,5.17,-20.0,2.0,3.1,1.0,3.43,False
RC,under_touch,2025-11-10,2.7,3.21,-15.88,19673.1,5,2.02,5.42,-19.88,-87.14,7.12,,-6.67,-7.78,-9.26,-23.7,-34.07,8.15,-14.07,1.0,5.93,2.0,18.06,False
RC,under_touch,2025-11-12,2.66,2.71,-1.87,4387.3,1,1.66,6.18,-21.3,-87.33,7.34,,-9.77,-4.51,-6.39,-21.05,-33.08,5.26,-12.78,1.0,0.38,1.0,1.87,False
RC,under_touch,2025-11-17,2.52,2.64,-4.55,161.2,1,1.06,6.86,-21.98,-88.0,7.2,,-1.19,1.59,-11.9,-12.3,-29.37,11.11,-15.48,1.0,-2.78,1.0,4.55,False
RC,under_touch,2025-12-15,2.33,2.32,0.43,0.0,16,2.27,5.58,-12.08,-88.9,7.79,,-3.43,-6.87,-9.01,-28.76,-23.61,1.72,-15.45,1.0,-4.72,1.0,5.17,True
RC,under_touch,2025-12-18,2.25,2.17,3.68,954.0,1,2.11,6.47,-6.25,-89.29,8.97,,-0.44,-7.56,8.0,-20.44,-20.89,9.33,-12.44,3.0,-0.89,1.0,3.69,True
