ticker,side,entry_date,entry,sl,tp,confidence,exit_date,exit,reason,pnl,pnl_pct,days_held
ADEA,פריצה,2026-01-05,18.44,16.6,22.13,56.1,2026-03-04,20.75,TIME,626.36,12.53,40
ONTO,פריצה,2026-02-09,214.08,192.67,256.9,56.0,2026-03-05,192.67,SL,-500.05,-10.0,16
AMKR,פריצה,2026-02-24,48.53,43.68,58.24,57.9,2026-03-05,43.68,SL,-499.69,-9.99,6
NC,פריצה,2026-03-04,58.21,52.39,69.85,55.7,2026-03-05,52.39,SL,-499.91,-10.0,0
BKH,פריצה,2026-01-07,71.92,64.73,86.3,65.3,2026-03-06,73.51,TIME,110.54,2.21,40
CAC,פריצה,2026-02-20,49.19,44.27,59.03,59.7,2026-03-06,44.27,SL,-500.1,-10.0,9
ALHC,פריצה,2026-02-25,20.13,18.12,24.16,60.2,2026-03-09,18.12,SL,-499.25,-9.99,7
BALY,פריצה,2026-02-26,13.89,12.5,16.67,60.3,2026-03-09,12.5,SL,-500.36,-10.01,6
HCSG,פריצה,2026-01-12,19.43,17.49,23.32,65.3,2026-03-11,20.04,TIME,156.97,3.14,40
LOVE,תמיכה,2026-03-06,11.9,10.71,14.28,58.1,2026-03-11,10.71,SL,-500.0,-10.0,2
FCF,פריצה,2026-01-14,17.31,15.58,20.77,65.3,2026-03-13,16.83,TIME,-138.65,-2.77,40
AEHR,פריצה,2026-03-09,40.88,36.79,49.06,55.2,2026-03-13,36.79,SL,-500.24,-10.0,3
ATKR,תמיכה,2026-03-09,61.59,55.43,73.91,67.9,2026-03-13,55.43,SL,-500.08,-10.0,3
ANDE,פריצה,2026-01-26,60.2,54.18,72.24,61.5,2026-03-24,71.53,TIME,941.03,18.82,40
ATEN,פריצה,2026-02-05,19.33,17.4,23.2,55.0,2026-03-25,23.2,TP,1001.03,20.02,32
GLRE,פריצה,2026-02-26,14.38,12.94,17.26,57.2,2026-03-25,17.26,TP,1001.39,20.03,18
ADUS,פריצה,2026-02-05,106.58,95.92,127.9,64.8,2026-03-27,95.92,SL,-500.09,-10.0,34
APPN,פריצה,2026-03-13,25.59,23.03,30.71,62.2,2026-03-27,23.03,SL,-500.2,-10.0,9
ANGO,פריצה,2026-01-30,10.36,9.32,12.43,64.7,2026-03-30,10.87,TIME,246.14,4.92,40
RDNT,פריצה,2026-03-11,61.2,55.08,73.44,62.0,2026-04-01,55.08,SL,-500.0,-10.0,14
ARL,פריצה,2026-03-25,16.05,14.45,19.26,65.3,2026-04-07,14.45,SL,-498.44,-9.97,7
BATRK,תמיכה,2026-02-09,39.7,35.73,47.64,56.1,2026-04-08,44.11,TIME,555.42,11.11,40
CALM,פריצה,2026-02-12,83.21,74.89,99.85,56.1,2026-04-13,74.89,SL,-499.94,-10.0,39
AHCO,פריצה,2026-03-13,10.6,9.54,12.72,61.7,2026-04-14,12.72,TP,1000.0,20.0,20
GRNT,פריצה,2026-03-24,5.5,4.95,6.6,58.8,2026-04-17,4.95,SL,-500.0,-10.0,16
CHMG,פריצה,2026-04-07,55.8,50.22,66.96,65.3,2026-04-20,66.96,TP,1000.0,20.0,8
CPK,פריצה,2026-02-23,135.07,121.56,162.08,65.3,2026-04-21,124.44,TIME,-393.5,-7.87,40
NHI,פריצה,2026-03-06,84.62,76.16,101.54,65.3,2026-04-22,76.16,SL,-499.88,-10.0,31
ATEX,פריצה,2026-04-14,37.93,34.14,45.52,56.9,2026-04-22,45.52,TP,1000.53,20.01,5
CNX,פריצה,2026-02-26,39.69,35.72,47.63,55.2,2026-04-24,38.45,TIME,-156.21,-3.12,40
ALGT,פריצה,2026-04-01,83.12,74.81,99.74,65.3,2026-04-29,74.81,SL,-499.88,-10.0,18
EBC,פריצה,2026-03-04,19.55,17.6,23.46,65.3,2026-04-30,20.23,TIME,173.91,3.48,40
IVT,פריצה,2026-03-05,31.2,28.08,37.44,65.3,2026-05-01,32.15,TIME,152.24,3.04,40
UNF,פריצה,2026-03-05,262.76,236.48,315.31,56.7,2026-05-01,252.1,TIME,-202.85,-4.06,40
MCB,תמיכה,2026-03-06,79.36,71.42,95.23,56.0,2026-05-04,87.91,TIME,538.68,10.77,40
CMC,פריצה,2026-03-30,60.09,54.08,72.11,65.3,2026-05-06,72.11,TP,1000.17,20.0,25
FSS,פריצה,2026-03-11,110.89,99.8,133.07,65.3,2026-05-07,120.46,TIME,431.51,8.63,40
LILAK,פריצה,2026-05-01,5.22,4.7,6.26,58.2,2026-05-07,4.7,SL,-498.08,-9.96,3
BH,פריצה,2026-04-21,299.0,269.1,358.8,55.8,2026-05-11,269.1,SL,-500.0,-10.0,13
BOOT,פריצה,2026-04-20,168.06,151.25,201.67,56.1,2026-05-12,151.25,SL,-500.12,-10.0,15
BCO,פריצה,2026-04-17,114.38,102.94,137.26,56.6,2026-05-13,102.94,SL,-500.09,-10.0,17
AVO,פריצה,2026-03-25,13.29,11.96,15.95,65.3,2026-05-15,11.96,SL,-500.38,-10.01,35
ALGT,פריצה,2026-05-06,80.08,72.07,96.1,56.6,2026-05-19,72.07,SL,-500.12,-10.0,8
EPRT,תמיכה,2026-03-24,31.1,27.99,37.32,74.6,2026-05-20,31.31,TIME,33.76,0.68,40
ANGO,פריצה,2026-04-08,10.17,9.15,12.2,56.8,2026-05-22,12.2,TP,998.03,19.96,31
BBSI,פריצה,2026-03-27,29.36,26.42,35.23,64.1,2026-05-26,30.97,TIME,274.18,5.48,40
FSBW,פריצה,2026-03-30,39.1,35.19,46.92,65.3,2026-05-27,41.29,TIME,280.05,5.6,40
CNX,פריצה,2026-05-04,38.31,34.48,45.97,61.0,2026-05-27,34.48,SL,-499.87,-10.0,15
BOH,פריצה,2026-04-27,78.71,70.84,94.45,62.0,2026-06-01,70.84,SL,-499.94,-10.0,23
UTI,פריצה,2026-05-11,36.75,33.08,44.1,55.7,2026-06-03,44.1,TP,1000.0,20.0,15
HCI,פריצה,2026-04-13,152.88,137.59,183.46,55.2,2026-06-09,157.62,TIME,155.02,3.1,40
CMPR,פריצה,2026-05-07,91.98,82.78,110.38,57.1,2026-06-15,82.78,SL,-500.11,-10.0,25
GTLS,פריצה,2026-04-22,208.08,187.27,249.7,61.8,2026-06-18,207.99,TIME,-2.16,-0.04,40
FMBH,פריצה,2026-04-23,43.21,38.89,51.85,56.3,2026-06-22,46.08,TIME,332.1,6.64,40
FNLC,פריצה,2026-05-19,28.42,25.58,34.1,64.0,2026-06-23,34.1,TP,999.3,19.99,22
MTH,פריצה,2026-05-27,66.47,59.82,79.76,55.8,2026-06-24,79.76,TP,999.7,19.99,18
SKY,פריצה,2026-05-27,74.12,66.71,88.94,60.3,2026-06-24,88.94,TP,999.73,19.99,18
ATRC,תמיכה,2026-04-29,27.34,24.61,32.81,70.2,2026-06-26,30.18,TIME,519.39,10.39,40
INDB,פריצה,2026-04-30,77.99,70.19,93.59,65.3,2026-06-29,83.41,TIME,347.48,6.95,40
MGY,פריצה,2026-05-12,28.64,25.78,34.37,64.5,2026-06-29,25.78,SL,-499.3,-9.99,31
MPB,פריצה,2026-05-01,33.32,29.99,39.98,60.0,2026-06-30,34.84,TIME,228.09,4.56,40
ALKT,תמיכה,2026-06-18,14.68,13.21,17.62,56.4,2026-06-30,17.62,TP,1001.36,20.03,6
BOX,פריצה,2026-05-07,25.69,23.12,30.83,55.2,2026-07-07,28.85,TIME,615.03,12.3,40
ASO,פריצה,2026-05-14,51.07,45.96,61.28,56.3,2026-07-07,45.96,SL,-500.29,-10.01,34
MBC,פריצה,2026-06-30,10.29,9.26,12.35,56.8,2026-07-07,9.26,SL,-500.49,-10.01,3
JANX,תמיכה,2026-06-03,13.59,12.23,16.31,59.6,2026-07-08,16.31,TP,1000.74,20.01,22
SPHR,פריצה,2026-07-07,156.48,140.83,187.78,55.5,2026-07-14,140.83,SL,-500.06,-10.0,4
GHC,פריצה,2026-05-18,1118.95,1007.06,1342.74,57.5,2026-07-16,1202.05,TIME,371.33,7.43,40
CAC,פריצה,2026-05-20,49.2,44.28,59.04,59.4,2026-07-20,54.28,TIME,516.26,10.33,40
BOOT,פריצה,2026-05-26,164.09,147.68,196.91,55.3,2026-07-21,147.68,SL,-500.03,-10.0,37
CBT,פריצה,2026-05-22,83.41,75.07,100.09,57.2,2026-07-22,89.58,TIME,369.86,7.4,40
AIR,פריצה,2026-07-21,141.4,127.26,169.68,65.0,2026-07-22,127.26,SL,-500.0,-10.0,0
CASH,פריצה,2026-06-24,86.45,77.81,103.74,65.3,2026-07-23,77.81,SL,-499.71,-9.99,19
OSW,פריצה,2026-06-30,28.24,25.42,33.89,62.5,2026-07-23,25.42,SL,-499.29,-9.99,15
CWST,פריצה,2026-07-07,99.01,89.11,118.81,55.7,2026-07-23,89.11,SL,-499.95,-10.0,11
ADUS,פריצה,2026-06-29,98.05,88.25,117.66,65.2,2026-07-28,117.66,TP,1000.0,20.0,19
OXM,תמיכה,2026-06-29,34.68,31.21,41.62,55.3,2026-07-28,41.62,TP,1000.58,20.01,19
DY,פריצה,2026-07-14,418.87,376.98,502.64,62.6,2026-07-29,376.98,SL,-500.04,-10.0,10
BKH,פריצה,2026-06-02,72.05,64.84,86.46,64.4,2026-07-30,72.23,TIME,12.49,0.25,40
HGV,פריצה,2026-06-15,51.17,46.05,61.4,55.8,2026-07-30,46.05,SL,-500.29,-10.01,30
AIN,פריצה,2026-07-23,74.69,67.22,89.63,63.8,2026-08-04,67.22,SL,-500.07,-10.0,7
BOH,פריצה,2026-06-09,77.98,70.18,93.58,65.3,2026-08-06,79.02,TIME,66.68,1.33,40
CRAI,פריצה,2026-07-29,190.04,171.04,228.05,58.2,2026-08-06,171.04,SL,-499.89,-10.0,5
BOWL,תמיכה,2026-07-20,7.25,6.53,8.7,56.4,2026-08-10,6.53,SL,-496.55,-9.93,14
FENC,פריצה,2026-08-06,10.84,9.76,13.01,55.5,2026-08-11,13.01,TP,1000.92,20.02,2
