Date,Portfolio Value
2025-09-05,11199.83
2025-09-08,11359.62
2025-09-09,11452.32
2025-09-10,11464.52
2025-09-11,11657.24
2025-09-12,11802.39
2025-09-15,12103.67
2025-09-16,12070.74
2025-09-17,11993.89
2025-09-18,12317.13
2025-09-19,12561.08
2025-09-22,12773.32
2025-09-23,12515.95
2025-09-24,12381.51
2025-09-25,12215.46
2025-09-26,12361.97
2025-09-29,12526.80
2025-09-30,12624.47
2025-10-01,12802.73
2025-10-02,12959.01
2025-10-03,12783.20
2025-10-06,13068.89
2025-10-07,12857.67
2025-10-08,13293.55
2025-10-09,13241.05
2025-10-10,11851.62
2025-10-13,12603.72
2025-10-14,12347.32
2025-10-15,12600.06
2025-10-16,12459.65
2025-10-17,12696.51
2025-10-20,13172.67
2025-10-21,13158.02
2025-10-22,12770.99
2025-10-23,13090.87
2025-10-24,13498.66
